date,open,high,low,close
2023-08-24 06:30:00-07:00,238.63,238.85,233.05,233.2
2023-08-24 06:45:00-07:00,233.2,233.96,232.34,233.26
2023-08-24 07:00:00-07:00,233.26,233.71,230.07,230.97
2023-08-24 07:15:00-07:00,230.97,230.98,229.22,229.25
2023-08-24 07:30:00-07:00,229.25,230.38,228.18,229.28
2023-08-24 07:45:00-07:00,229.28,231.64,229.02,230.35
2023-08-24 08:00:00-07:00,230.35,230.77,229.26,230.27
2023-08-24 08:15:00-07:00,230.27,231.27,230.1,231.06
2023-08-24 08:30:00-07:00,231.06,231.19,229.7,230.46
2023-08-24 08:45:00-07:00,230.46,231.43,230.19,230.91
2023-08-24 09:00:00-07:00,230.91,232.36,230.87,232.34
2023-08-24 09:15:00-07:00,232.34,233.1,232.29,232.71
2023-08-24 09:30:00-07:00,232.71,234.43,232.56,234.03
2023-08-24 09:45:00-07:00,234.03,234.3,232.5,232.8
2023-08-24 10:00:00-07:00,232.8,233.08,232.25,232.57
2023-08-24 10:15:00-07:00,232.57,232.86,231.82,232.12
2023-08-24 10:30:00-07:00,232.12,232.77,231.9,232.23
2023-08-24 10:45:00-07:00,232.23,233.3,232.07,232.41
2023-08-24 11:00:00-07:00,232.41,233.76,232.41,233.69
2023-08-24 11:15:00-07:00,233.69,233.7,232.34,232.51
2023-08-24 11:30:00-07:00,232.51,232.96,231.33,231.39
2023-08-24 11:45:00-07:00,231.39,232.26,231.2,231.95
2023-08-24 12:00:00-07:00,231.95,232.52,231.51,231.78
2023-08-24 12:15:00-07:00,231.78,232.1,230.61,230.86
2023-08-24 12:30:00-07:00,230.86,231.22,230.25,230.58
2023-08-24 12:45:00-07:00,230.58,230.86,229.85,230.01
2023-08-25 06:30:00-07:00,231.25,234.63,230.89,234.25
2023-08-25 06:45:00-07:00,234.25,235.89,233.91,234.52
2023-08-25 07:00:00-07:00,234.52,236.56,232.28,236.43
2023-08-25 07:15:00-07:00,236.43,237.74,233.44,233.62
2023-08-25 07:30:00-07:00,233.62,234.89,232.6,232.66
2023-08-25 07:45:00-07:00,232.66,232.7,230.33,230.41
2023-08-25 08:00:00-07:00,230.41,233.76,230.36,232.22
2023-08-25 08:15:00-07:00,232.22,234.47,231.03,234.36
2023-08-25 08:30:00-07:00,234.36,235.24,233.56,234.85
2023-08-25 08:45:00-07:00,234.85,234.93,232.55,233.0
2023-08-25 09:00:00-07:00,233.0,233.99,232.82,233.46
2023-08-25 09:15:00-07:00,233.46,234.85,233.24,234.82
2023-08-25 09:30:00-07:00,234.82,234.9,234.1,234.44
2023-08-25 09:45:00-07:00,234.44,235.7,234.19,235.32
2023-08-25 10:00:00-07:00,235.32,235.72,234.72,235.68
2023-08-25 10:15:00-07:00,235.68,236.1,234.48,234.89
2023-08-25 10:30:00-07:00,234.89,235.32,234.27,235.12
2023-08-25 10:45:00-07:00,235.12,235.77,234.45,235.64
2023-08-25 11:00:00-07:00,235.64,236.65,235.52,236.57
2023-08-25 11:15:00-07:00,236.57,238.48,236.24,238.43
2023-08-25 11:30:00-07:00,238.43,238.7,237.28,237.44
2023-08-25 11:45:00-07:00,237.44,238.75,237.27,238.42
2023-08-25 12:00:00-07:00,238.42,238.88,237.81,238.11
2023-08-25 12:15:00-07:00,238.11,238.9,237.95,238.52
2023-08-25 12:30:00-07:00,238.52,238.9,237.56,238.32
2023-08-25 12:45:00-07:00,238.32,238.9,237.76,238.56
2023-08-28 06:30:00-07:00,242.54,244.32,238.56,239.48
2023-08-28 06:45:00-07:00,239.48,240.37,237.18,238.6
2023-08-28 07:00:00-07:00,238.6,239.9,238.07,238.17
2023-08-28 07:15:00-07:00,238.17,240.43,238.07,240.26
2023-08-28 07:30:00-07:00,240.26,240.86,239.0,239.57
2023-08-28 07:45:00-07:00,239.57,240.27,238.08,238.94
2023-08-28 08:00:00-07:00,238.94,239.49,237.8,239.31
2023-08-28 08:15:00-07:00,239.31,240.18,238.96,239.44
2023-08-28 08:30:00-07:00,239.44,239.83,237.25,237.72
2023-08-28 08:45:00-07:00,237.72,237.74,236.4,237.6
2023-08-28 09:00:00-07:00,237.6,237.67,236.46,237.23
2023-08-28 09:15:00-07:00,237.23,237.55,235.51,236.15
2023-08-28 09:30:00-07:00,236.15,236.68,235.35,236.53
2023-08-28 09:45:00-07:00,236.53,237.25,235.83,237.15
2023-08-28 10:00:00-07:00,237.15,237.92,237.0,237.86
2023-08-28 10:15:00-07:00,237.86,239.13,237.5,239.07
2023-08-28 10:30:00-07:00,239.07,239.11,237.47,237.51
2023-08-28 10:45:00-07:00,237.51,237.72,236.03,236.45
2023-08-28 11:00:00-07:00,236.45,237.24,236.31,237.01
2023-08-28 11:15:00-07:00,237.01,237.19,236.52,237.13
2023-08-28 11:30:00-07:00,237.13,237.62,236.55,237.49
2023-08-28 11:45:00-07:00,237.49,238.03,237.03,238.0
2023-08-28 12:00:00-07:00,238.0,238.5,237.67,238.07
2023-08-28 12:15:00-07:00,238.07,238.2,237.15,237.59
2023-08-28 12:30:00-07:00,237.59,238.6,237.47,238.59
2023-08-28 12:45:00-07:00,238.59,239.66,238.46,238.78
2023-08-29 06:30:00-07:00,238.58,240.91,237.77,240.78
2023-08-29 06:45:00-07:00,240.78,242.39,240.77,242.31
2023-08-29 07:00:00-07:00,242.31,247.88,242.22,247.81
2023-08-29 07:15:00-07:00,247.81,249.64,247.16,249.22
2023-08-29 07:30:00-07:00,249.22,251.16,249.22,250.07
2023-08-29 07:45:00-07:00,250.07,250.39,248.59,248.97
2023-08-29 08:00:00-07:00,248.97,250.65,248.86,250.34
2023-08-29 08:15:00-07:00,250.34,251.88,249.8,251.43
2023-08-29 08:30:00-07:00,251.43,253.66,250.91,253.42
2023-08-29 08:45:00-07:00,253.42,253.72,252.53,253.34
2023-08-29 09:00:00-07:00,253.34,254.63,253.02,253.84
2023-08-29 09:15:00-07:00,253.84,254.22,253.22,253.83
2023-08-29 09:30:00-07:00,253.83,254.83,253.44,254.64
2023-08-29 09:45:00-07:00,254.64,254.86,253.58,254.36
2023-08-29 10:00:00-07:00,254.36,254.52,252.68,252.9
2023-08-29 10:15:00-07:00,252.9,253.54,252.65,253.29
2023-08-29 10:30:00-07:00,253.29,254.32,253.1,253.89
2023-08-29 10:45:00-07:00,253.89,254.56,253.26,253.95
2023-08-29 11:00:00-07:00,253.95,254.96,253.82,254.64
2023-08-29 11:15:00-07:00,254.64,255.35,254.41,254.94
2023-08-29 11:30:00-07:00,254.94,255.19,254.48,255.14
2023-08-29 11:45:00-07:00,255.14,255.55,254.9,255.33
2023-08-29 12:00:00-07:00,255.33,256.06,254.83,255.94
2023-08-29 12:15:00-07:00,255.94,257.02,255.78,256.64
2023-08-29 12:30:00-07:00,256.64,256.71,256.13,256.4
2023-08-29 12:45:00-07:00,256.4,257.34,255.41,257.17
2023-08-30 06:30:00-07:00,254.15,255.44,251.75,252.29
2023-08-30 06:45:00-07:00,252.29,255.14,250.59,254.52
2023-08-30 07:00:00-07:00,254.52,256.36,254.37,255.96
2023-08-30 07:15:00-07:00,255.96,256.13,251.81,252.97
2023-08-30 07:30:00-07:00,252.97,254.42,252.92,253.75
2023-08-30 07:45:00-07:00,253.75,255.2,252.99,254.93
2023-08-30 08:00:00-07:00,254.93,255.48,253.81,255.24
2023-08-30 08:15:00-07:00,255.24,255.88,254.75,255.41
2023-08-30 08:30:00-07:00,255.41,258.76,255.25,258.24
2023-08-30 08:45:00-07:00,258.24,258.34,257.0,257.76
2023-08-30 09:00:00-07:00,257.76,259.51,257.67,259.01
2023-08-30 09:15:00-07:00,259.01,260.5,258.83,259.99
2023-08-30 09:30:00-07:00,259.99,260.11,258.81,259.3
2023-08-30 09:45:00-07:00,259.3,259.7,258.31,259.1
2023-08-30 10:00:00-07:00,259.1,259.17,258.05,258.42
2023-08-30 10:15:00-07:00,258.42,258.69,257.72,257.91
2023-08-30 10:30:00-07:00,257.91,259.24,257.82,258.62
2023-08-30 10:45:00-07:00,258.62,258.82,256.01,256.63
2023-08-30 11:00:00-07:00,256.63,256.79,254.9,256.15
2023-08-30 11:15:00-07:00,256.15,256.77,254.9,254.9
